person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,client_id,loan_to_income,interest_burden,emp_stability_ratio,credit_age_ratio,rate_x_credit_age,financial_pressure,loan_grade_ord
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,2,0.10416666666666667,1.114,1.6666666666666667,0.09523809523809523,3.7133333333333334,0.010416666666666668,2
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.5,N,3,3,0.5729166666666666,6.435,0.14285714285714285,0.12,3.2175,0.2864583333333333,3
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.5,N,2,4,0.5343511450381679,7.615,0.8,0.08695652173913043,5.076666666666667,0.26717557251908397,3
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.5,Y,4,5,0.6433823529411765,7.135,1.3333333333333333,0.16666666666666666,2.854,0.32169117647058826,3
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,6,0.25252525252525254,1.785,0.6666666666666666,0.09523809523809523,2.38,0.06313131313131314,1
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,7,0.45395590142671854,5.589,1.0,0.11538461538461539,3.105,0.20428015564202334,2
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,8,0.44328486752115104,4.8884,0.8333333333333334,0.16666666666666666,2.222,0.19504534170930646,2
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,9,0.42168674698795183,3.738,1.3333333333333333,0.08333333333333333,2.966666666666667,0.17710843373493976,1
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,10,0.16,2.3584,2.0,0.14285714285714285,3.685,0.0256,4
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,11,0.4117647058823529,4.2517,1.5,0.18181818181818182,2.074,0.16882352941176468,2
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,12,0.45,3.8835000000000006,0.6666666666666666,0.09523809523809523,2.876666666666667,0.2025,1
